date_time,temp,date,time,weekday,month,year,temp_deseasoned1,deseasoned_24hr_smooth,deseasoned_weekly_smooth
2016-08-25 09:00:00,72.08599999999997,2016-08-25,09:00:00,Thursday,August,2016,-0.37800000000005696,-1.2215400000000471,0.12760499999999272
2016-08-25 10:00:00,77.79560000000002,2016-08-25,10:00:00,Thursday,August,2016,-0.4608000000000487,-1.1286900000000515,0.13029214285713528
2016-08-25 11:00:00,83.73560000000003,2016-08-25,11:00:00,Thursday,August,2016,0.7920000000000016,-1.0095900000000497,0.1345435714285637
2016-08-25 12:00:00,87.15559999999998,2016-08-25,12:00:00,Thursday,August,2016,0.20160000000001332,-0.9519900000000495,0.14702357142856368
2016-08-25 13:00:00,88.43720000000008,2016-08-25,13:00:00,Thursday,August,2016,0.12599999999997635,-0.8868900000000508,0.16537071428570643
2016-08-25 14:00:00,90.51800000000007,2016-08-25,14:00:00,Thursday,August,2016,1.285199999999989,-0.7715400000000544,0.19426071428570627
2016-08-25 15:00:00,91.5044,2016-08-25,15:00:00,Thursday,August,2016,1.5912000000000432,-0.6372900000000475,0.21612214285713466
2016-08-25 16:00:00,92.48000000000003,2016-08-25,16:00:00,Thursday,August,2016,1.4220000000000255,-0.5397900000000467,0.22810714285713493
2016-08-25 17:00:00,92.8975999999999,2016-08-25,17:00:00,Thursday,August,2016,1.666799999999995,-0.44619000000003756,0.2405635714285629
2016-08-25 18:00:00,92.28920000000004,2016-08-25,18:00:00,Thursday,August,2016,1.6524,-0.374190000000036,0.254594999999992
2016-08-25 19:00:00,91.24520000000008,2016-08-25,19:00:00,Thursday,August,2016,1.724399999999946,-0.3008400000000429,0.2650585714285631
2016-08-25 20:00:00,89.87000000000006,2016-08-25,20:00:00,Thursday,August,2016,3.3804000000000656,-0.13299000000003916,0.29086499999999144
2016-08-25 21:00:00,84.93800000000016,2016-08-25,21:00:00,Thursday,August,2016,1.7964000000000908,-0.025890000000035347,0.3101142857142773
2016-08-25 22:00:00,81.49640000000008,2016-08-25,22:00:00,Thursday,August,2016,1.2384000000000555,0.05900999999996811,0.3245507142857063
2016-08-25 23:00:00,80.23640000000012,2016-08-25,23:00:00,Thursday,August,2016,2.152800000000056,0.1604099999999704,0.34156928571427825
2016-08-26 00:00:00,77.77760000000005,2016-08-26,00:00:00,Friday,August,2016,3.8757599999999712,0.4311899999999653,0.3753685714285645
